Year,VarTemp,CO2_mmp
1958,0.12,315.29599999999994
1959,0.08,315.9766666666667
1960,0.05,316.9075
1961,0.1,317.64000000000004
1962,0.11,318.4483333333333
1963,0.12,318.98583333333335
1964,-0.14,319.61249999999995
1965,-0.07,320.02916666666664
1966,-0.01,321.3633333333333
1967,0.0,322.17583333333334
1968,-0.03,323.0466666666667
1969,0.11,324.61833333333334
1970,0.06,325.67749999999995
1971,-0.07,326.31416666666667
1972,0.04,327.455
1973,0.19,329.6741666666666
1974,-0.06,330.24583333333334
1975,0.01,331.15583333333336
1976,-0.07,332.16
1977,0.21,333.9058333333333
1978,0.12,335.50833333333327
1979,0.23,336.85583333333335
1980,0.28,338.69666666666666
1981,0.32,339.94750000000005
1982,0.19,341.1458333333333
1983,0.36,342.7908333333333
1984,0.17,344.49583333333334
1985,0.16,345.885
1986,0.24,347.12833333333333
1987,0.38,348.8500000000001
1988,0.39,351.2383333333333
1989,0.3,352.6991666666667
1990,0.45,353.9866666666667
1991,0.39,355.38750000000005
1992,0.24,356.17
1993,0.28,356.84083333333336
1994,0.35,358.7083333333333
1995,0.47,360.7241666666667
1996,0.33,362.5058333333333
1997,0.52,363.64416666666665
1998,0.65,366.51916666666665
1999,0.44,368.2091666666667
2000,0.43,369.38166666666666
2001,0.57,370.93249999999995
2002,0.62,373.01833333333326
2003,0.64,375.5641666666667
2004,0.58,377.3041666666666
2005,0.67,379.5608333333333
2006,0.64,381.77
2007,0.62,383.55750000000006
2008,0.54,385.4158333333333
2009,0.65,387.33750000000003
2010,0.73,389.9058333333333
2011,0.58,391.6875
2012,0.64,393.9416666666666
2013,0.68,396.645
2014,0.74,398.7
2015,0.93,400.85833333333335
2016,0.99,404.205
2017,0.91,406.50916666666666
2018,0.82,408.51416666666677
2019,0.95,411.4216666666667
2020,0.98,413.94666666666654
